"Path","Length","LastWriteTime"
".gitignore","250","2026/7/15 10:30:39"
"README.md","1117","2026/7/15 10:30:38"
"archive\backups\bibliography.bib.bak","416","2019/12/21 16:52:23"
"archive\backups\IEEEexample_2015_09_11.bib.bak","69470","2020/1/19 19:35:21"
"archive\backups\main.tex.bak","12709","2019/12/21 10:42:07"
"archive\backups\structure.tex.bak","19554","2019/12/21 16:52:23"
"archive\backups\unsorted\39054678.txt","16","2026/7/7 10:01:22"
"archive\backups\unsorted\chapter3_cover-28.png","5299","2026/7/13 16:33:36"
"archive\backups\unsorted\chapter3_title-29.png","577900","2026/7/13 16:34:03"
"archive\backups\unsorted\chapter8_cover-46.png","5299","2026/7/13 16:33:36"
"archive\backups\unsorted\chapter8_title-47.png","534540","2026/7/13 16:34:04"
"archive\generated\latex\main.aux","11246","2019/12/21 10:42:25"
"archive\generated\latex\main.bbl","248","2019/12/21 10:42:20"
"archive\generated\latex\main.bcf","90721","2019/12/21 9:52:00"
"archive\generated\latex\main.blg","932","2019/12/21 10:42:20"
"archive\generated\latex\main.dvi","106028","2019/2/11 14:15:18"
"archive\generated\latex\main.fdb_latexmk","34798","2019/2/11 14:14:52"
"archive\generated\latex\main.fls","42812","2019/2/11 14:14:38"
"archive\generated\latex\main.idx","1025","2019/12/21 10:42:25"
"archive\generated\latex\main.ilg","329","2019/2/11 14:13:56"
"archive\generated\latex\main.ind","1096","2019/2/11 14:13:56"
"archive\generated\latex\main.log","80805","2019/12/21 10:42:25"
"archive\generated\latex\main.out.ps","3506","2019/2/11 14:15:18"
"archive\generated\latex\main.ptc","2535","2019/12/21 10:42:25"
"archive\generated\latex\main.run.xml","2342","2019/12/21 9:52:00"
"archive\generated\latex\main.synctex.gz","60495","2019/12/21 10:42:25"
"archive\generated\latex\main.toc","2458","2019/12/21 10:42:25"
"archive\generated\latex\RedBook_Research_Plan_20260204.aux","30179","2026/7/14 16:47:37"
"archive\generated\latex\RedBook_Research_Plan_20260204.bbl","49","2026/7/13 16:20:29"
"archive\generated\latex\RedBook_Research_Plan_20260204.blg","995","2026/7/13 16:20:29"
"archive\generated\latex\RedBook_Research_Plan_20260204.fdb_latexmk","32298","2026/7/14 12:56:08"
"archive\generated\latex\RedBook_Research_Plan_20260204.fls","43681","2026/7/14 12:56:03"
"archive\generated\latex\RedBook_Research_Plan_20260204.idx","0","2026/7/13 16:20:37"
"archive\generated\latex\RedBook_Research_Plan_20260204.ilg","284","2026/7/13 16:20:28"
"archive\generated\latex\RedBook_Research_Plan_20260204.ind","0","2026/7/13 16:20:28"
"archive\generated\latex\RedBook_Research_Plan_20260204.log","70185","2026/7/14 16:47:37"
"archive\generated\latex\RedBook_Research_Plan_20260204.ptc","11824","2026/7/14 16:47:37"
"archive\generated\latex\RedBook_Research_Plan_20260204.toc","11492","2026/7/14 16:47:37"
"archive\generated\latex\RedBook_Research_Plan_20260204.xdv","965428","2026/7/14 12:56:03"
"archive\generated\latex\verification_20260715\main.aux","30179","2026/7/15 10:35:06"
"archive\generated\latex\verification_20260715\main.fdb_latexmk","31831","2026/7/15 10:35:12"
"archive\generated\latex\verification_20260715\main.fls","42694","2026/7/15 10:35:06"
"archive\generated\latex\verification_20260715\main.log","69695","2026/7/15 10:35:06"
"archive\generated\latex\verification_20260715\main.ptc","11824","2026/7/15 10:35:06"
"archive\generated\latex\verification_20260715\main.toc","11492","2026/7/15 10:35:06"
"archive\generated\latex\verification_20260715\main.xdv","982320","2026/7/15 10:35:06"
"archive\generated\notebooks\chapter8_correlation_analysis_executed.ipynb","1221961","2026/7/13 14:54:32"
"archive\original_packages\RedBook_Research_Plan.zip","29792237","2026/7/14 12:36:18"
"data\raw\家电.zip","26839094","2026/7/10 20:06:18"
"data\raw\美妆0到12.zip","50545935","2026/7/10 20:06:47"
"data\raw\美妆13到30.zip","33165078","2026/7/10 20:08:21"
"notebooks\chapter03\3.2.1.ipynb","263902","2026/7/10 13:20:26"
"notebooks\chapter03\code3.1.6.ipynb","262246","2026/7/10 13:20:26"
"notebooks\chapter06\6.1_2.ipynb","223663","2026/7/10 20:04:44"
"notebooks\chapter08\chapter8_correlation_analysis.ipynb","18149","2026/7/15 10:30:32"
"notebooks\chapter10\chapter10_classification.ipynb","70904","2026/7/15 10:30:33"
"outputs\chapter08\8_1_high_correlation_pairs.csv","75","2026/7/13 10:19:01"
"outputs\chapter08\8_1_pearson_features.csv","3616","2026/7/13 10:19:00"
"outputs\chapter08\8_1_pearson_heatmap.png","231369","2026/7/13 10:19:01"
"outputs\chapter08\8_1_spearman_features.csv","3606","2026/7/13 10:19:00"
"outputs\chapter08\8_2_numeric_target_correlations.csv","1802","2026/7/13 10:19:01"
"outputs\chapter08\8_2_target_correlation_ranking.png","77837","2026/7/13 10:19:02"
"outputs\chapter08\8_2_viral_group_tests.csv","3532","2026/7/13 10:19:02"
"outputs\chapter08\8_2_weekday_comparison.png","59434","2026/7/13 10:19:03"
"outputs\chapter08\8_2_weekday_summary.csv","549","2026/7/13 10:19:02"
"outputs\chapter08\8_3_bins_content_len.csv","869","2026/7/13 10:19:05"
"outputs\chapter08\8_3_bins_emotion_extremity.csv","890","2026/7/13 10:19:14"
"outputs\chapter08\8_3_bins_emotion_positive.csv","880","2026/7/13 10:19:10"
"outputs\chapter08\8_3_bins_log_fans.csv","816","2026/7/13 10:19:04"
"outputs\chapter08\8_3_bins_tag_count.csv","441","2026/7/13 10:19:05"
"outputs\chapter08\8_3_bins_title_body_overlap.csv","108","2026/7/13 10:19:15"
"outputs\chapter08\8_3_lowess_content_len.png","275126","2026/7/13 10:19:05"
"outputs\chapter08\8_3_lowess_emotion_extremity.png","385437","2026/7/13 10:19:14"
"outputs\chapter08\8_3_lowess_emotion_positive.png","351720","2026/7/13 10:19:10"
"outputs\chapter08\8_3_lowess_log_fans.png","392830","2026/7/13 10:19:04"
