feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_fdr,spearman_p_fdr
log_fans,168323,0.48873863670985945,0.0,0.46873501179742466,0.0,0.0,0.0
body_len,182103,-0.13373997180643699,0.0,-0.11552754703263132,0.0,0.0,0.0
content_len,182103,-0.1359000851192451,0.0,-0.11518166875636691,0.0,0.0,0.0
has_location,182103,-0.12254386525368292,0.0,-0.11144651857541502,0.0,0.0,0.0
emotion_extremity,182103,-0.07252915004267356,7.048955814930474e-211,-0.07047853512663095,3.2825454944704474e-199,1.5272737599016026e-210,8.534618285623162e-199
title_body_overlap,182103,-0.07337395131417095,8.77050793242306e-216,-0.06761511326260769,1.7583979855599791e-183,2.2803320624299954e-215,3.809862302046621e-183
emotion_positive,182103,-0.053575389454153806,7.558029101205283e-116,-0.06307432879028939,6.949056738996342e-160,1.0917153146185408e-115,1.2905391086707492e-159
tag_count,182103,-0.057146469985664694,1.4699540208894028e-131,-0.04357965110366481,2.8897009279599953e-77,2.3886752839452794e-131,4.695764007934992e-77
emoji_count,182103,-0.06943137395670987,2.2106720248287667e-193,-0.026161033227876333,6.003678008275853e-29,4.1055337603962814e-193,8.671979345287344e-29
weekday,181746,-0.027771065744603245,2.382298476932576e-32,-0.02412722547256078,8.042611808519325e-25,2.8154436545566805e-32,1.0455395351075122e-24
exclamation_count,182103,-0.020559222674877135,1.7210361656719153e-18,-0.01718133655056841,2.2611216487491808e-13,1.864455846144575e-18,2.6722346757944864e-13
question_count,182103,-0.013166632262504196,1.922087554967531e-08,-0.014083191311366455,1.8546455270222964e-09,1.922087554967531e-08,2.009199320940821e-09
title_len,182103,-0.041005380222412895,1.2965862714597376e-68,-0.01333468251940581,1.265986328113778e-08,1.6855621528976587e-68,1.265986328113778e-08
