压缩包,文件,行数
家电.zip,utf8_cleaned_家电笔记详细信息18-24_result_0.csv,5000
家电.zip,utf8_cleaned_家电笔记详细信息18-24_result_1.csv,5000
家电.zip,utf8_cleaned_家电笔记详细信息18-24_result_2.csv,435
家电.zip,家电笔记详细信息_result_0.csv,5000
家电.zip,家电笔记详细信息_result_1.csv,5000
家电.zip,家电笔记详细信息_result_2.csv,454
家电.zip,家电笔记详细信息1-6_result_0.csv,5000
家电.zip,家电笔记详细信息1-6_result_1.csv,1442
家电.zip,家电笔记详细信息7-12_result_0.csv,5000
家电.zip,家电笔记详细信息7-12_result_1.csv,5000
家电.zip,家电笔记详细信息7-12_result_2.csv,5000
家电.zip,家电笔记详细信息7-12_result_3.csv,2166
家电.zip,家电笔记详细信息13-18_result_0.csv,5000
家电.zip,家电笔记详细信息13-18_result_1.csv,5000
家电.zip,家电笔记详细信息13-18_result_2.csv,5000
家电.zip,家电笔记详细信息13-18_result_3.csv,2021
家电.zip,家电笔记详细信息19-24_result_0.csv,5000
家电.zip,家电笔记详细信息19-24_result_1.csv,5000
家电.zip,家电笔记详细信息19-24_result_2.csv,2145
家电.zip,家电笔记详细信息25-27_result_0.csv,2241
家电.zip,家电笔记详细信息28-30_result_0.csv,5000
家电.zip,家电笔记详细信息28-30_result_1.csv,3101
美妆0到12.zip,美妆_filtered_ids_result_0.csv,5000
美妆0到12.zip,美妆_filtered_ids_result_1.csv,5000
美妆0到12.zip,美妆_filtered_ids_result_2.csv,5000
美妆0到12.zip,美妆_filtered_ids_result_3.csv,5000
美妆0到12.zip,美妆_filtered_ids_result_4.csv,5000
美妆0到12.zip,美妆_filtered_ids_result_5.csv,4273
美妆0到12.zip,美妆ids_result_0.csv,5000
美妆0到12.zip,美妆ids_result_1.csv,5000
美妆0到12.zip,美妆ids_result_2.csv,5000
美妆0到12.zip,美妆ids_result_3.csv,5000
美妆0到12.zip,美妆ids_result_4.csv,5000
美妆0到12.zip,美妆ids_result_5.csv,5000
美妆0到12.zip,美妆ids_result_6.csv,5000
美妆0到12.zip,美妆ids_result_7.csv,5000
美妆0到12.zip,美妆ids_result_8.csv,3476
美妆0到12.zip,美妆笔记详细信息_result_0.csv,5000
美妆0到12.zip,美妆笔记详细信息_result_1.csv,5000
美妆0到12.zip,美妆笔记详细信息_result_2.csv,594
美妆0到12.zip,美妆笔记详细信息1_result_0.csv,4560
美妆0到12.zip,美妆笔记详细信息1-6_result_0.csv,5000
美妆0到12.zip,美妆笔记详细信息1-6_result_1.csv,5000
美妆0到12.zip,美妆笔记详细信息1-6_result_2.csv,2496
美妆0到12.zip,美妆笔记详细信息7_result_0.csv,3093
美妆0到12.zip,美妆笔记详细信息7-12_result_0.csv,5000
美妆0到12.zip,美妆笔记详细信息7-12_result_1.csv,5000
美妆0到12.zip,美妆笔记详细信息7-12_result_2.csv,4830
美妆0到12.zip,美妆笔记详细信息8-12_result_0.csv,5000
美妆0到12.zip,美妆笔记详细信息8-12_result_1.csv,5000
美妆0到12.zip,美妆笔记详细信息8-12_result_2.csv,5000
美妆0到12.zip,美妆笔记详细信息8-12_result_3.csv,1658
美妆13到30.zip,美妆笔记详细信息13-18_result_0.csv,5000
美妆13到30.zip,美妆笔记详细信息13-18_result_1.csv,5000
美妆13到30.zip,美妆笔记详细信息13-18_result_2.csv,5000
美妆13到30.zip,美妆笔记详细信息13-18_result_3.csv,3306
美妆13到30.zip,美妆笔记详细信息19-23_result_0.csv,5000
美妆13到30.zip,美妆笔记详细信息19-23_result_1.csv,5000
美妆13到30.zip,美妆笔记详细信息19-23_result_2.csv,404
美妆13到30.zip,美妆笔记详细信息19-24_result_0.csv,5000
美妆13到30.zip,美妆笔记详细信息19-24_result_1.csv,5000
美妆13到30.zip,美妆笔记详细信息19-24_result_2.csv,5000
美妆13到30.zip,美妆笔记详细信息19-24_result_3.csv,141
美妆13到30.zip,美妆笔记详细信息25-30_result_0.csv,5000
美妆13到30.zip,美妆笔记详细信息25-30_result_1.csv,5000
美妆13到30.zip,美妆笔记详细信息25-30_result_2.csv,5000
美妆13到30.zip,美妆笔记详细信息25-30_result_3.csv,2286
美妆13到30.zip,美妆详细笔记信息（2）_all_result_0.csv,5000
美妆13到30.zip,美妆详细笔记信息（2）_all_result_1.csv,5000
美妆13到30.zip,美妆详细笔记信息（2）_all_result_2.csv,5000
美妆13到30.zip,美妆详细笔记信息（2）_all_result_3.csv,5000
美妆13到30.zip,美妆详细笔记信息（2）_all_result_4.csv,5000
美妆13到30.zip,美妆详细笔记信息（2）_all_result_5.csv,5000
美妆13到30.zip,美妆详细笔记信息（2）_all_result_6.csv,5000
美妆13到30.zip,美妆详细笔记信息（2）_all_result_7.csv,5000
美妆13到30.zip,美妆详细笔记信息（2）_all_result_8.csv,3476
